name,char_code,code,common_code,eng_name,name,nominal,num_code
Австралийский доллар,AUD,R01010,R01010,Australian Dollar,Австралийский доллар,1,36
Австрийский шиллинг,ATS,R01015,R01015,Austrian Shilling,Австрийский шиллинг,1000,40
Азербайджанский манат,AZN,R01020A,R01020,Azerbaijan Manat,Азербайджанский манат,1,944
Фунт стерлингов Соединенного королевства,GBP,R01035,R01035,British Pound Sterling,Фунт стерлингов Соединенного королевства,1,826
Ангольская новая кванза,AON,R01040F,R01040,Angolan new Kwanza,Ангольская новая кванза,100000,24
Армянский драм,AMD,R01060,R01060,Armenia Dram,Армянский драм,1000,51
Белорусский рубль,BYR,R01090,R01090,Belarussian Ruble,Белорусский рубль,1000,974
Бельгийский франк,BEF,R01095,R01095,Belgium Franc,Бельгийский франк,1000,56
Болгарский лев,BGN,R01100,R01100,Bulgarian lev,Болгарский лев,1,975
Бразильский реал,BRL,R01115,R01115,Brazil Real,Бразильский реал,1,986
Венгерский форинт,HUF,R01135,R01135,Hungarian Forint,Венгерский форинт,100,348
Греческая драхма,GRD,R01205,R01205,Greek Drachma,Греческая драхма,10000,300
Датская крона,DKK,R01215,R01215,Danish Krone,Датская крона,10,208
Доллар США,USD,R01235,R01235,US Dollar,Доллар США,1,840
Евро,EUR,R01239,R01239,Euro,Евро,1,978
Индийская рупия,INR,R01270,R01270,Indian Rupee,Индийская рупия,100,356
Ирландский фунт,IEP,R01305,R01305,Irish Pound,Ирландский фунт,100,372
Исландская крона,ISK,R01310,R01310,Iceland Krona,Исландская крона,10000,352
Испанская песета,ESP,R01315,R01315,Spanish Peseta,Испанская песета,10000,724
Итальянская лира,ITL,R01325,R01325,Italian Lira,Итальянская лира,100000,380
Казахстанский тенге,KZT,R01335,R01335,Kazakhstan Tenge,Казахстанский тенге,100,398
Канадский доллар,CAD,R01350,R01350,Canadian Dollar,Канадский доллар,1,124
Киргизский сом,KGS,R01370,R01370,Kyrgyzstan Som,Киргизский сом,100,417
Китайский юань,CNY,R01375,R01375,China Yuan,Китайский юань,10,156
Кувейтский динар,KWD,R01390,R01390,Kuwaiti Dinar,Кувейтский динар,10,414
Латвийский лат,LVL,R01405,R01405,Latvian Lat,Латвийский лат,1,428
Ливанский фунт,LBP,R01420,R01420,Lebanese Pound,Ливанский фунт,100000,422
Литовский лит,LTL,R01435,R01435,Lithuanian Lita,Литовский лит,1,440
Литовский талон,,R01436,R01435,Lithuanian talon,Литовский талон,1,
Молдавский лей,MDL,R01500,R01500,Moldova Lei,Молдавский лей,10,498
Немецкая марка,DEM,R01510,R01510,Deutsche Mark,Немецкая марка,1,276
Немецкая марка,DEM,R01510A,R01510,Deutsche Mark,Немецкая марка,100,280
Нидерландский гульден,NLG,R01523,R01523,Netherlands Gulden,Нидерландский гульден,100,528
Норвежская крона,NOK,R01535,R01535,Norwegian Krone,Норвежская крона,10,578
Польский злотый,PLN,R01565,R01565,Polish Zloty,Польский злотый,1,985
Португальский эскудо,PTE,R01570,R01570,Portuguese Escudo,Португальский эскудо,10000,620
Румынский лей,ROL,R01585,R01585,Romanian Leu,Румынский лей,10000,642
Румынский лей,RON,R01585F,R01585,Romanian Leu,Румынский лей,10,946
СДР (специальные права заимствования),XDR,R01589,R01589,SDR,СДР (специальные права заимствования),1,960
Сингапурский доллар,SGD,R01625,R01625,Singapore Dollar,Сингапурский доллар,1,702
Суринамский доллар,SRD,R01665A,R01665,Surinam Dollar,Суринамский доллар,1,968
Таджикский сомони,TJS,R01670,R01670,Tajikistan Ruble,Таджикский сомони,10,972
Таджикский рубл,TJR,R01670B,R01670,Tajikistan Ruble,Таджикский рубл,10,762
Турецкая лира,TRY,R01700J,R01700,Turkish Lira,Турецкая лира,1,949
Туркменский манат,TMM,R01710,R01710,Turkmenistan Manat,Туркменский манат,10000,795
Новый туркменский манат,TMT,R01710A,R01710,New Turkmenistan Manat,Новый туркменский манат,1,934
Узбекский сум,UZS,R01717,R01717,Uzbekistan Sum,Узбекский сум,1000,860
Украинская гривна,UAH,R01720,R01720,Ukrainian Hryvnia,Украинская гривна,10,980
Украинский карбованец,,R01720A,R01720,Ukrainian Hryvnia,Украинский карбованец,1,
Финляндская марка,FIM,R01740,R01740,Finnish Marka,Финляндская марка,100,246
Французский франк,FRF,R01750,R01750,French Franc,Французский франк,1000,250
Чешская крона,CZK,R01760,R01760,Czech Koruna,Чешская крона,10,203
Шведская крона,SEK,R01770,R01770,Swedish Krona,Шведская крона,10,752
Швейцарский франк,CHF,R01775,R01775,Swiss Franc,Швейцарский франк,1,756
ЭКЮ,XEU,R01790,R01790,ECU,ЭКЮ,1,954
Эстонская крона,EEK,R01795,R01795,Estonian Kroon,Эстонская крона,10,233
Югославский новый динар,YUN,R01805,R01804,Yugoslavian Dinar,Югославский новый динар,1,890
Южноафриканский рэнд,ZAR,R01810,R01810,S.African Rand,Южноафриканский рэнд,10,710
Вон Республики Корея,KRW,R01815,R01815,South Korean Won,Вон Республики Корея,1000,410
Японская иена,JPY,R01820,R01820,Japanese Yen,Японская иена,100,392
